Metric,Multipath-NADA,Aggregated-NADA,Improvement (%),Scenario
Estimated MOS (1-5),4.841287398071763,4.839661698319464,0.033591185781912176,Balanced Gigabit - Frame Aware
Throughput Stability (stddev),52.38272482475984,21.350642322576004,-145.3449598065289,Balanced Gigabit - Frame Aware
Path Utilization Ratio (%),4.006289346972221,,,Balanced Gigabit - Frame Aware
Delivery Efficiency (%),0.0,0.0,,Balanced Gigabit - Frame Aware
Buffer Length (ms),0.0,472.54,-100.0,Balanced Gigabit - Frame Aware
Buffer Underruns,1.0,14.0,92.85714285714286,Balanced Gigabit - Frame Aware
Throughput (Mbps),48.075459570666666,20.285445693181817,136.99484003363756,Balanced Gigabit - Buffer_Aware
Delay (seconds),0.03964242954545454,0.039945240909090914,0.7580661844686882,Balanced Gigabit - Buffer_Aware
Loss (%),0.0,0.0,,Balanced Gigabit - Buffer_Aware
Jitter (seconds),1.8597727400573636e-06,7.256591862272727e-06,74.37126442612286,Balanced Gigabit - Buffer_Aware
Estimated MOS (1-5),4.841287398071763,4.839661698319464,0.033591185781912176,Balanced Gigabit - Buffer_Aware
Throughput Stability (stddev),53.08209949024996,21.350642322576004,-148.6206208143975,Balanced Gigabit - Buffer_Aware
Path Utilization Ratio (%),4.451431441728395,,,Balanced Gigabit - Buffer_Aware
Delivery Efficiency (%),0.0,0.0,,Balanced Gigabit - Buffer_Aware
Buffer Length (ms),0.0,472.54,-100.0,Balanced Gigabit - Buffer_Aware
Buffer Underruns,1.0,14.0,92.85714285714286,Balanced Gigabit - Buffer_Aware
Throughput (Mbps),47.99349909090909,20.714587956818182,131.68937364796622,Hybrid Fiber-5G - Dynamic RTT Weights
Delay (seconds),0.05818560909090909,0.058382468181818185,0.3371887092817367,Hybrid Fiber-5G - Dynamic RTT Weights
Loss (%),0.0,0.0,,Hybrid Fiber-5G - Dynamic RTT Weights
Jitter (seconds),9.756586493499568e-07,3.9259928592727275e-06,75.14874111282278,Hybrid Fiber-5G - Dynamic RTT Weights
Estimated MOS (1-5),4.767184052487838,4.7661743845762405,0.021184032100571452,Hybrid Fiber-5G - Dynamic RTT Weights
Throughput Stability (stddev),79.75540412810753,29.05189803373978,-174.52734425641526,Hybrid Fiber-5G - Dynamic RTT Weights
Path Utilization Ratio (%),2.9625616722783388,,,Hybrid Fiber-5G - Dynamic RTT Weights
Delivery Efficiency (%),0.0,0.0,,Hybrid Fiber-5G - Dynamic RTT Weights
Buffer Length (ms),352.239,454.605,-22.51757019830403,Hybrid Fiber-5G - Dynamic RTT Weights
Buffer Underruns,11.0,15.0,26.666666666666668,Hybrid Fiber-5G - Dynamic RTT Weights
Throughput (Mbps),58.65872111111111,20.714587956818182,183.17590112529206,Hybrid Fiber-5G - Weighted Best Path
Delay (seconds),0.06000327857142858,0.058382468181818185,-2.776193676092569,Hybrid Fiber-5G - Weighted Best Path
